title,game_id,name_jp,name_kana,name_ro,name_tcn,name_scn,name_hkjc,name_kr,epithet,image_main,image_race,image_proto,image_stage,nicknames,birthday,class,dorm,roommate,height,threesizes,shoesize,weight,calls_self,calls_trainer,seiyuu,icon,color_main,color_sub,irl_page,emoji,partydash_page,1,media
Bubble_Gum_Fellow,1124,バブルガムフェロー,,Baburu Gamu Feroo,吹波糖,,,,,Bubble Gum Fellow (Main).png,Bubble Gum Fellow (Race).png,Bubble Gum Fellow (Proto).png,,,2021-04-11,,,Fenomeno,166,B82 W58 H84,,,,,[[Sayaka Kamitani]],Bubble Gum Fellow (Icon).png,e5bd00,0047bb,IRL:Bubble Gum Fellow,,,,
Buena_Vista,1114,ブエナビスタ,,Buena Bisuta,迷人景緻,,,,,Buena Vista (Main).png,Buena Vista (Race).png,,Buena Vista (Stage).png,,2021-03-14,,,Gentildonna,159,B81 W56 H81,,,,,[[Fuka Izumi]],Buena Vista (Icon).png,c0af3b,583d3e,IRL:Buena Vista,🥲,,,
Calstone_Light_O,1120,カルストンライトオ,,Karusuton Raito O,金鎮之光,,,,,Calstone Light O (Main).png,Calstone Light O (Race).png,Calstone Light O (Proto).png,Calstone Light O (Stage).png,,2021-05-03,,Ritto,Durandal,159,B80 W55 H80,23cm,Developing at Top Speed,,,Yumiko Mochizuki (望月ゆみこ),Calstone Light O (Icon).png,131b4c,f7eb49,IRL:Calstone Light O,,,,
Cesario,1110,シーザリオ,,Shizario,西沙里奧,,,,,Cesario (Main).png,Cesario (Race).png,,Cesario (Stage).png,,2021-03-31,Middle School,Ritto,Rhein Kraft,167,B80 W53 H84,24.5 cm,Slight decrease (a bit restrained before a race),私 (Watashi),トレーナー (Trainer),[[Haruka Sato]],Cesario (Icon).png,948eab,0a3874,IRL:Cesario,🔛📴,,,
Cheval_Grand,1089,シュヴァルグラン,,shuvaru guran,高尚駿逸,,,,A Magnificent Umamusume,Cheval Grand (Main).png,Cheval Grand (Race).png,Cheval Grand (Proto).png,Cheval Grand (Stage).png,シュヴァル (Cheval),2012-03-14,Middle School,Ritto,Win Variation,160,B85 W56 H80,24cm,Stable ◯,僕 (Boku),,[[Yuko Natsuyoshi]],Cheval Grand (Icon).png,64C3C1,1E3872,IRL:Cheval Grand,,Party Dash:Cheval Grand,,
Chrono_Genesis,1133,クロノジェネシス,,Kurono Jeneshisu,創世駒,,,,,Chrono Genesis (Main).png,Chrono Genesis (Race).png,Chrono Genesis (Proto).png,,,2021-03-06,Middle School,Ritto,Loves Only You,152,B77 W54 H76,22.0cm,Historical,,,[[Hiyori Manase]],Chrono Genesis (Icon).png,464647,50a19f,IRL:Chrono Genesis,📰,,,
Copano_Rickey,1098,コパノリッキー,,Kopano Rikkii,小林歷奇,,,,Lucky Charm that Brings Victory,Copano Rickey (Main).png,Copano Rickey (Race).png,Copano Rickey (Proto).png,Copano Rickey (Stage).png,リッキー (Rickey),2010-03-24,Middle School,Ritto,,165,B83 W55 H87,25cm,Secret☆,私 (Watashi),トレーナー (Trainer),[[Konomi Inagaki]],Copano Rickey (Icon).png,eeb42a,d93c49,IRL:Copano Rickey,⭐,,,
Curren_Bouquetd'or,1134,カレンブーケドール,,Karen Buukedooru,機伶金花,,,,,Curren Bouquetd'or (Main).png,Curren Bouquetd'or (Race).png,,,,2021-04-23,,,Yamanin Zephyr,153,B78 W53 H77,,,,,[[Anju Oda]],Curren Bouquetd'or (Icon).png,8e8180,473d3c,IRL:Curren Bouquetd'or,,,,
Curren_Chan,1038,カレンチャン,,Karen Chan,真機伶,,,,Sparkling Girl,Curren Chan (Main).png,Curren Chan (Race).png,Curren Chan (Proto).png,Curren Chan (Stage).png,カレン (Curren)<br>カレンちゃん大先生 (Curren-chan-senpai)<br>チャンカーレ (Chancurre),2007-03-31,Middle School,Ritto,Admire Vega,155,B83 W55 H79,22cm,Secret ♥,"カレン、私 (Curren, Watashi)","お兄ちゃん、お姉ちゃん (Big Bro, Big Sis)",[[Yu Sasahara]],Curren Chan (Icon).png,F86669,47423E,IRL:Curren Chan,💝,,,
Daiichi_Ruby,1085,ダイイチルビー,,Daiichi Rubii,第一紅寶,第一红宝石,,,The Brilliant Young Lady,Daiichi Ruby (Main).png,Daiichi Ruby (Race).png,Daiichi Ruby (Proto).png,Daiichi Ruby (Stage).png,ルビー (Ruby)<br>お嬢 (Ojou),1987-04-15,High School,Ritto,K.S.Miracle,141,B77 W53 H76,"L19cm, R18.5cm",Splendid progress,私（わたくし） (Watakushi),貴方 (Anata),[[Carin Isobe]],Daiichi Ruby (Icon).png,d2445d,6946a9,IRL:Daiichi Ruby,,,,
Daitaku_Helios,1065,ダイタクヘリオス,,Daitaku Heriosu,大德太陽,大拓太阳神,大德日神,,Hyped Party-girl Uma Musume,Daitaku Helios (Main).png,Daitaku Helios (Race).png,Daitaku Helios (Proto).png,Daitaku Helios (Stage).png,ヘリオス (Helios)<br>ズッ友 (Zuttomo),1987-04-10,High School,Ritto,Tap Dance City,156,B82 W53 H85,23.5cm,Wei!,"ウチ、わたくし (Uchi, Watakushi)",トレぴ (Torepi),[[Aya Yamane]],Daitaku Helios (Icon).png,5b64d5,fbe247,IRL:Daitaku Helios,🌞,,,
Daiwa_Scarlet,1009,ダイワスカーレット,,daiwa sukaaretto,大和赤驥,,,,Miss Perfect,Daiwa Scarlet (Main).png,Daiwa Scarlet (Race).png,Daiwa Scarlet (Proto).png,Daiwa Scarlet (Stage).png,スカーレット (Scarlet),2004-05-13,Middle School,Ritto,Vodka,163,B90 W56 H82,24.5cm,Unclear (refused measurement),アタシ (Atashi),トレーナー (Trainer),[[Chisa Kimura]],Daiwa Scarlet (Icon).png,4F64D8,E73472,IRL:Daiwa Scarlet,,Party Dash:Daiwa Scarlet,,
Dantsu_Flame,1092,ダンツフレーム,,Dantsu Fureemu,緞通烈焰,,烈焰快駒,,,Dantsu Flame (Main).png,Dantsu Flame (Race).png,,Dantsu Flame (Stage).png,"ダンツ　(Dantsu), フレちゃん (Fla-chan)",2021-04-19,Highschool,Ritto,Hishi Miracle,163,B90 W60 H88,,Uncertain,,,[[Haruna Fukushima]],Dantsu Flame (Icon).png,e97d97,119d76,IRL:Dantsu_Flame,🩷,Party Dash:Dantsu Flame,,
Daring_Heart,1112,デアリングハート,,Dearingu Haato,勇敢之心,,,,,Daring Heart (Main).png,Daring Heart (Race).png,,Daring Heart (Stage).png,,2021-03-09,,Ritto,Fusaichi Pandora,165,B82 W52 H84,,Audacious,,,[[Shio Kisui]],Daring Heart (Icon).png,d0ba00,38312b,IRL:Daring Heart,💛,,,
Daring_Tact,1075,デアリングタクト,,Dearingu Takuto,謀勇兼備,,,,,Daring Tact (Main).png,Daring Tact (Race).png,,Daring Tact (Stage).png,タクト (Takuto),2017-04-15,,,,158,B80 W55 H82,,Natural Transition,,,[[Hina Yomiya]],Daring Tact (Icon).png,79c6db,6c5953,IRL:Daring Tact,,,,
Dream_Journey,1119,ドリームジャーニー,,Doriimu Jaanii,夢之旅,,,,Witness of Journey's End,Dream Journey (Main).png,Dream Journey (Race).png,,Dream Journey (Stage).png,,2021-02-24,High School,Ritto,Orfevre,144,B66 W48 H69,22.5cm,Uncertain,Watashi (私),,[[Mayu Yoshioka]],Dream Journey (Icon).png,332d1f,e6e08a,IRL:Dream Journey,■,,,
Duramente,1108,ドゥラメンテ,,,大鳴大放,,,,The Embodiment of the Strongest,Duramente (Main).png,Duramente (Race).png,Duramente (Proto).png,Duramente (Stage).png,ドゥラ(Dura),2012-03-22,Middle School,Miho,Satono Crown,166,B89 W57 H85,24.5cm,A Beautiful Finish,私 (Watashi),,[[Akina]],Duramente (Icon).png,bf3344,4e4e4e,IRL:Duramente,💪,Party_Dash:Duramente,,
Durandal,1121,デュランダル,,Durandaru,多旺達,,,,,Durandal (Main).png,Durandal (Race).png,Durandal (Proto).png,Durandal (Stage).png,,2021-05-25,Highschool,Ritto,Calstone Light O,162,B89 W56 H85,23.5cm on both sides,A faithful finish,,"トレーナー殿, 我が王よ (Torena Dono) (Waga O Yo)",[[Kana Nogi]],Durandal (Icon).png,efa605,d22630,IRL:Durandal,,,,
Eishin_Flash,1037,エイシンフラッシュ,,Eishin Furasshu,榮進閃耀,,,,Sharpness of a Flash,Eishin Flash (Main).png,Eishin Flash (Race).png,Eishin Flash (Proto).png,Eishin Flash (Stage).png,フラッシュ (Flash),2007-03-27,High School,Ritto,Smart Falcon,160,B88 W58 H86,23cm,No change (without even 1g of error),私 (Watashi),"トレーナーさん (Trainer-san, Anata)",[[Ayami Fujino]],Eishin Flash (Icon).png,3D3B3A,E33067,IRL:Eishin Flash,,,,
El_Condor_Pasa,1014,エルコンドルパサー,,Eru Kondoru Pasaa,神鷹,,,,Mysterious Bird,El Condor Pasa (Main).png,El Condor Pasa (Race).png,El Condor Pasa (Proto).png,El Condor Pasa (Stage).png,エル (El),1995-03-17,Middle School,Miho,Grass Wonder,163,B89 W58 H86,24cm,Slight increase (the weightlifting's working!),"アタシ、エル、エルエル (Atashi, El, Elel)",トレーナーさん (Trainer-san),[[Minami Takahashi]],El Condor Pasa (Icon).png,DD4E31,EFDB28,IRL:El Condor Pasa,🐦,Party Dash:El Condor Pasa,,
Espoir_City,1081,エスポワールシチー,,Esupowaaru Shichii,希望之城,,,,,Espoir City (Main).png,Espoir City (Race).png,,Espoir City (Stage).png,,2021-04-22,,Ritto,,153,B79 W55 H79,,I won't say!,,,[[Asaka]],Espoir City (Icon).png,d93842,293aab,IRL:Espoir City,🍭,,,
Fenomeno,1127,フェノーメノ,,Fenoomeno,超常駿驥,,,,,Fenomeno (Main).png,Fenomeno (Race).png,Fenomeno (Proto).png,,"メノ (Meno), マメちん (Mamechin)",2021-04-20,,,Bubble Gum Fellow,171,B81 W59 H82,,,"本官 (honkan, while on duty), 私 (watashi)",ボス (Boss),[[Yuriko Hibi]],Fenomeno (Icon).png,574a74,f4db4e,IRL:Fenomeno,,,,
Fine_Motion,1022,ファインモーション,,Fain Mooshon,美妙姿勢,,,,Free-spirited Princess,Fine Motion (Main).png,Fine Motion (Race).png,Fine Motion (Proto).png,Fine Motion (Stage).png,ファイン (Fine),1999-01-27,High School,Ritto,Air Groove,158,B79 W56 H83,23cm,Slight increase (too much ramen?),私 (Watashi),トレーナーさん (Trainer-san),[[Chinami Hashimoto]],Fine Motion (Icon).png,20A95C,EE5340,IRL:Fine Motion,,,,
Fuji_Kiseki,1005,フジキセキ,,Fuji Kiseki,富士奇石,,,후지 키세키,Beautiful Triple Crown Umamusume,Fuji Kiseki (Main).png,Fuji Kiseki (Race).png,Fuji Kiseki (Proto).png,Fuji Kiseki (Stage).png,フジ (Fuji)<br>寮長 (Ryocho),1992-04-15,High School,Ritto,,168,B84 W58 H82,26cm,No change,私 (Watashi),トレーナーさん (Trainer-san),[[Eriko Matsui]],Fuji Kiseki (Icon).png,444745,33B839,IRL:Fuji Kiseki,,Party Dash:Fuji Kiseki,,
Furioso,1079,フリオーソ,,Furiooso,狂怒樂章,,,,,Furioso (Main).png,Furioso (Race).png,Furioso (Proto).png,Furioso (Stage).png,,2021-05-01,High school,Lives Alone,,161,B81 W53 H78,"Left, 24.5cm; Right, 24.0cm",Precise,,,[[Aki Sairenji]],Furioso (Icon).png,3f54bf,dd3543,IRL:Furioso,,,,
Fusaichi_Pandora,1113,フサイチパンドラ,,Fusaichi Pandora,房一潘朵拉,潘多拉,火神,,,Fusaichi Pandora (Main).png,Fusaichi Pandora (Race).png,,Fusaichi Pandora (Stage).png,,2021-02-27,Middle school,Miho,Daring Heart,165,B92 W61 H86,24.0cm,Feelin' good ♡,あたし (Atashi),トレーナー (Trainer),[[Moe Kahara]],Fusaichi Pandora (Icon).png,fd637f,fbd872,IRL:Fusaichi Pandora,💖,,,
Gentildonna,1116,ジェンティルドンナ,,jentirudonna,貴婦人,,,,,Gentildonna (Main).png,Gentildonna (Race).png,Gentildonna (Proto).png,Gentildonna (Stage).png,,2021-02-20,High School,Ritto,Buena Vista,167,B95 W63 H87,26.5 cm,Powerful,私（わたくし） (Watakushi),,[[Yuu Serizawa]],Gentildonna (Icon).png,cf2f2b,533c3d,IRL:Gentildonna,💃,,,
Gold_City,1040,ゴールドシチー,,Gorudo Shichi,黃金城 / 黃金城市,黄金城,,,Prettiest Girl of the Century,Gold City (Main).png,Gold City (Race).png,Gold City (Proto).png,Gold City (Stage).png,シチー (City),1984-04-16,High School,Ritto,Bamboo Memory,158,B85 W58 H82,23cm,She didn't show up to the measuring station,アタシ (Atashi),トレーナー (Trainer),[[Saki Kosaka]],Gold City (Icon).png,245099,E63C5C,IRL:Gold City,💄,,,
Gold_Ship,1007,ゴールドシップ,,Gōrudo Shippu,黃金船,,,,Unprecedented,Gold Ship (Main).png,Gold Ship (Race).png,Gold Ship (Proto).png,Gold Ship (Stage).png,ゴルシ (Golshi)<br>ゴルピッピ (Golpippi),2009-03-06,,Ritto,,170,B88 W55 H88,26.5cm,Unmeasurable,"アタシ アテクシ、ゴルシちゃん、俺、ゴルぴっぴ (Atashi, Atakushi, Gorushi-chan, Ore, Gorupippi)","トレーナー、トレピッピ、現金自動預け払い機 (Trainer, Torepippi, ATM)",[[Hitomi Ueda]],Gold Ship (Icon).png,DA3C57,E9DA36,IRL: Gold Ship,⚓️,Party Dash:Gold Ship,,
Gran_Alegria,1131,グランアレグリア,,Guran Areguria,放聲歡呼,,,,Absolute Queen of the Mile,Gran Alegria (Main).png,Gran Alegria (Race).png,Gran Alegria (Proto).png,,Gran,2016-01-24,Middle School,Miho,,160,B84 W55 H85,,Growing by about 10 miles!,Atashi (あたし),Trainer-san (トレーナーさん),[[Hina Natsume]],Gran Alegria (Icon).png,53565a,ef4d60,IRL:Gran Alegria,,,,
Grass_Wonder,1011,グラスワンダー,,Gurasu Wandaa,草上飛,,,,Phoenix,Grass Wonder (Main).png,Grass Wonder (Race).png,Grass Wonder (Proto).png,Grass Wonder (Stage).png,グラス (Grass),1995-02-18,Middle School,Miho,El Condor Pasa,152,B77 W53 H84,"L23cm, R23.5cm",No change,私 (Watashi),トレーナーさん (Trainer-san),[[Rena Maeda]],Grass Wonder (Icon).png,3A34AC,E3493F,IRL:Grass Wonder,,Party Dash:Grass Wonder,,
Haru_Urara,1052,ハルウララ,,haru urara,春麗 / 春烏菈菈,春丽/春乌拉拉/乌拉拉,,,Persistent Haru Urara,Haru Urara (Main).png,Haru Urara (Race).png,Haru Urara (Proto).png,Haru Urara (Stage).png,ウララ (Urara),1996-02-27,Middle School,Ritto,King Halo,140,B74 W51 H73,20cm,Slight increase (but not a big deal),"わたし、ウララ (Watashi, Urara)",トレーナー (Trainer),[[Yukina Shuto]],Haru Urara (Icon).png,FA7395,EDE04B,IRL:Haru Urara,🩹,,,
Hishi_Akebono,1028,ヒシアケボノ,,Hishi Akebono,菱曙,,,,Super-sized Umamusume,Hishi Akebono (Main).png,Hishi Akebono (Race).png,Hishi Akebono (Proto).png,Hishi Akebono (Stage).png,アケボノ (Akebono)<br>ボノ (Bono),1992-02-27,Middle School,Ritto,Biko Pegasus,180,B99 W64 H88,28cm,Super large increase,あたし (Atashi),トレーナーさん (Trainer-san),[[Rei Matsuzaki]],Hishi Akebono (Icon).png,208BCD,FA6F8B,IRL:Hishi Akebono,,,,
Hishi_Amazon,1012,ヒシアマゾン,,Hishi Amazon,菱亞馬遜,,,,Heroine,Hishi Amazon (Main).png,Hishi Amazon (Race).png,Hishi Amazon (Proto).png,Hishi Amazon (Stage).png,ヒシアマ (Hishiama),1991-03-26,High School,Miho,,160,B92 W59 H89,24cm,Slight increase (no comment),"アタシ、ヒシアマ姐さん (Atashi, Hishiama Nee-san)","アンタ、トレ公 (Anta, Torekou)",[[Yuiko Tatsumi]],Hishi Amazon (Icon).png,2185D0,E6453A,IRL:Hishi Amazon,,,,
Hishi_Miracle,1106,ヒシミラクル,,hishi mirakuru,菱奇蹟,,菱鑽奇寶,,Relaxed and Soothing Umamusume,Hishi Miracle (Main).png,Hishi Miracle (Race).png,Hishi Miracle (Proto).png,Hishi Miracle (Stage).png,"ミラ子 (Mirako),",1999-03-31,High School,Ritto,Dantsu Flame,156,B85 W62 H88,22cm,Normal,わたし (Watashi),トレーナーさん (Trainer-san),[[Sakura Kasuga]],Hishi Miracle (Icon).png,4a71b2,bdd1e9,IRL:Hishi Miracle,,,,
Hokko_Tarumae,1099,ホッコータルマエ,,hokkoo tarumae,北幸樽前,北港火山,北港火山,,The Star of Tomakomai,Hokko Tarumae (Main).png,Hokko Tarumae (Race).png,Hokko Tarumae (Proto).png,Hokko Tarumae (Stage).png,タルマエ (Tarumae),2009-05-26,Middle School,Ritto,Verxina,162,B86 W56 H85,24.5cm,No Change,"私、おら (Watashi, Ora )",トレーナーさん (Trainer-san),[[Sayaka Kikuchi]],Hokko Tarumae (Icon).png,d94149,cddee0,IRL:Hokko Tarumae,🪽,,,
Ikuno_Dictus,1063,イクノディクタス,,Ikuno Dikutasu,狄杜斯,生野狄杜斯,,,Iron Maiden,Ikuno Dictus (Main).png,Ikuno Dictus (Race).png,Ikuno Dictus (Proto).png,Ikuno Dictus (Stage).png,イクノ (Ikuno),1987-04-16,Middle School,Ritto,Mejiro McQueen,163,B75 W53 H82,23cm,Impeccable,私 (Watashi),トレーナーさん (Trainer-san),[[Masumi Tazawa]],Ikuno Dictus (Icon).png,49b73f,c6d1d5,IRL:Ikuno Dictus,🚲,,,
Inari_One,1034,イナリワン,,Inari Wan,稻荷一,,,,The Tenjin from Ooi,Inari One (Main).png,Inari One (Race).png,Inari One (Proto).png,Inari One (Stage).png,イナリ (Inari),1984-05-07,High School,Miho,Twin Turbo,139,B85 W51 H74,19cm,No change,"あたし、イナリ様 (Atashi, Inari-sama)","ダンナ、アネゴ (Danna, Anego)",[[Haruno Inoue]],Inari One (Icon).png,AE419E,EC86D0,IRL:Inari One,,,,
Ines_Fujin,1031,アイネスフウジン,,Ainesu Fuujin,艾尼斯風神 / 艾尼風神,,,,Wind God,Ines Fujin (Main).png,Ines Fujin (Race).png,Ines Fujin (Proto).png,Ines Fujin (Stage).png,アイネス (Ines),1987-04-10,High School,Miho,Mejiro Ryan,167,B88 W58 H84,"L24cm, R24.5cm",Slight increase (ate a little too much?),"あたし、アイネスお姉ちゃん (Atashi, Ines Onee-chan)",トレーナー (Trainer),[[Rika Nagae]],Ines Fujin (Icon).png,F078C5,54AE1B,IRL:Ines Fujin,,,,
Jungle_Pocket,1094,ジャングルポケット,,,叢林口袋,森林口袋,森林寶穴,,,Jungle Pocket (Main).png,Jungle Pocket (Race).png,Jungle Pocket (Proto).png,Jungle Pocket (Stage).png,ポッケ (Pokke)<br>ポケット (Pocket)<br>陛下（フジキセキ） (Your Majesty (Fuji Kiseki))<br>ジャングルバゲット(アグネスタキオン) (Jungle Baguette (Agnes Tachyon)),1998-05-07,High School,Ritto,Narita Top Road,158,B77 W56 H80,"L24cm, R23cm",Don't know,俺 (Ore),,[[Yuri Fujimoto]],Jungle Pocket (Icon).png,6ac43c,e6d734,IRL:Jungle Pocket,💥,Party Dash:Jungle Pocket,,
K.S.Miracle,1093,ケイエスミラクル,Kei Esu Mirakuru,,凱斯奇蹟 / 喜嘉奇蹟,,,,Architect of Miracles,K.S.Miracle (Main).png,K.S.Miracle (Race).png,K.S.Miracle (Proto).png,K.S.Miracle (Stage).png,ケイちゃん (Kei-Chan)<br>ミラクル (Miracle)<br>ミラ (Mira),1988-03-16,High School,Ritto,Daiichi Ruby,156,B79 W51 H77,"L22.5cm, R22cm",Smart,おれ (Ore),トレーナーさん (Torēnā-san),[[Hinata Sato]],K.S.Miracle (Icon).png,85aae1,ebd64a,IRL:K.S.Miracle,🦢,,,
Katsuragi_Ace,1104,カツラギエース,,Katsuragi Eesu,葛城王牌 / 葛城榮主,,,,World-Conquering Great Ace,Katsuragi Ace (Main).png,Katsuragi Ace (Race).png,Katsuragi Ace (Proto).png,Katsuragi Ace (Stage).png,エース (Ace)<br>ラギぱいせん (Ragi-paisen)<br>ラギラギ (Ragiragi),1980-04-24,High School,Ritto,Mejiro Palmer,165,B81 W54 H77,24cm,Ace-class,あたし (Atashi),"あんた、トレーナーさん、トレーナー殿 (Anta, Trainer-san, Trainer-dono)",[[Natsumi Fujiwara]],Katsuragi Ace (Icon).png,7db0e0,f77696,IRL:Katsuragi Ace,🅰️,,,
Kawakami_Princess,1039,カワカミプリンセス,,Kawakami Purinsesu,川上公主,,,,Precocious Princess,Kawakami Princess (Main).png,Kawakami Princess (Race).png,Kawakami Princess (Proto).png,Kawakami Princess (Stage).png,カワカミ (Kawakami)<br>お師匠様 (Oshishousama),2003-06-05,Middle School,Ritto,Seeking the Pearl,154,B91 W57 H87,21.5cm,No increase or decrease (of course!),私（わたくし） (Watakushi),トレーナーさん (Trainer-san),[[Karin Takahashi]],Kawakami Princess (Icon).png,E146A7,00C7B1,IRL:Kawakami Princess,,,,
King_Halo,1061,キングヘイロー,,kingu heiroo,帝皇光輝,,,킹 헤일로,King of the World,King Halo (Main).png,King Halo (Race).png,King Halo (Proto).png,King Halo (Stage).png,キング (King)<br>お嬢様 (Ojousama),1995-04-28,Middle School,Ritto,Haru Urara,159,B85 W60 H85,23cm,Perfect,"私、キング、このキング (Watashi, King, Kono King)",トレーナー (Trainer),[[Iori Saeki]],King Halo (Icon).png,0E9451,1C57A5,IRL:King Halo,,Party Dash:King Halo,,
